mps_name,constituency,office_budget,reason_for_budget_set,office_spend,remaining_office_budget,staffing_budget,reason_for_budget_staffing_budget,staffing_spend,remaining_staffing_budget,accommodation_budget,reason_for_budget_accommodation_budget,accommodation_spend,remaining_accommodation_budget,travel_and_subsistence_uncapped,other_costs_uncapped,pid
Mark Fletcher,Bolsover CC,30570.00,Standard non-London area budget,22109.60,8460.40,236170.00,Standard non-London area budget,228232.79,7937.21,6330.00,Standard budget for an MP who owns their property and is claiming the associated costs only (such as utilities),6330.00,0.00,12256.69,0.00,4774
Mark Francois,Rayleigh and Wickford CC,30570.00,Standard non-London area budget,7613.23,22956.77,236170.00,Standard non-London area budget,198091.19,38078.81,26840.00,Standard budget for renting a property in the London area,9161.00,17679.00,322.14,0.00,1444
Mark Garnier,Wyre Forest CC,30570.00,Standard non-London area budget,14744.06,15825.94,236170.00,Standard non-London area budget,146380.99,89789.01,32960.00,"Standard budget for renting a property in the London area, with an uplift to cover the cost of one dependant",26610.72,6349.28,5430.82,0.00,4074
Mark Harper,Forest of Dean CC,30570.00,Standard non-London area budget,25052.88,5517.12,236170.00,Standard non-London area budget,183036.15,53133.85,26840.00,Standard budget for renting a property in the London area,26800.53,39.47,7402.48,0.00,1520
Mark Hendrick,Preston BC,30570.00,Standard non-London area budget,30132.57,437.43,236170.00,Standard non-London area budget,187392.89,48777.11,32960.00,"Standard budget for renting a property in the London area, with an uplift to cover the cost of one dependant",32378.02,581.98,18501.15,2252.67,473
Mark Jenkinson,Workington CC,30570.00,Standard non-London area budget,29245.03,1324.97,236170.00,Standard non-London area budget,206648.75,29521.25,45200.00,"Standard budget for renting a property in the London area, with an uplift to cover the cost of three dependants",36981.51,8218.49,21166.69,0.00,4752
Mark Logan,Bolton North East BC,30570.00,Standard non-London area budget,23521.51,7048.49,236170.00,Standard non-London area budget,220021.11,16148.89,32960.00,"Standard budget for renting a property in the London area, with an uplift to cover the cost of one dependant",32960.00,0.00,18710.31,0.00,4815
Mark Menzies,Fylde CC,30570.00,Standard non-London area budget,18592.36,11977.64,236170.00,Standard non-London area budget,172458.45,63711.55,26840.00,Standard budget for renting a property in the London area,25508.24,1331.76,17902.45,0.00,3998
Mark Pawsey,Rugby CC,30570.00,Standard non-London area budget,22969.54,7600.46,236170.00,Standard non-London area budget,208470.02,27699.98,26840.00,Standard budget for renting a property in the London area,23928.78,2911.22,4711.11,0.00,4052
Mark Pritchard,The Wrekin CC,30570.00,Standard non-London area budget,22979.80,7590.20,236170.00,Standard non-London area budget,94425.44,141744.56,32960.00,"Standard budget for renting a property in the London area, with an uplift to cover the cost of one dependant",32959.71,0.29,3925.35,1133.00,1576
Mark Spencer,Sherwood CC,30570.00,Standard non-London area budget,26626.06,3943.94,236170.00,Standard non-London area budget,188042.00,48128.00,26840.00,Standard budget for renting a property in the London area,16475.00,10365.00,5686.68,0.00,4055
Mark Tami,Alyn and Deeside CC,30570.00,Standard non-London area budget,22718.50,7851.50,236170.00,Standard non-London area budget,233344.64,2825.36,26840.00,Standard budget for renting a property in the London area,26296.66,543.34,9333.25,0.00,1383
Marsha De Cordova,Battersea BC,33840.00,Standard London area budget,29119.06,4720.94,252870.00,Standard London area budget,229626.27,23243.73,0.00,,0.00,0.00,1482.21,96.00,4676
Martin Docherty-Hughes,West Dunbartonshire CC,30570.00,Standard non-London area budget,26853.54,3716.46,236170.00,Standard non-London area budget,233702.78,2467.22,26840.00,Standard budget for renting a property in the London area,13512.70,13327.30,50723.27,0.00,4374
Martin Vickers,Cleethorpes CC,30570.00,Standard non-London area budget,10245.97,20324.03,236170.00,Standard non-London area budget,151115.35,85054.65,26840.00,Standard budget for renting a property in the London area,26797.82,42.18,8021.23,0.00,3957
Martyn Day,Linlithgow and East Falkirk CC,30570.00,Standard non-London area budget,26801.47,3768.53,236170.00,Standard non-London area budget,234699.20,1470.80,26840.00,Standard budget for renting a property in the London area,25507.17,1332.83,24479.76,0.00,4488
Mary Foy,City of Durham CC,30570.00,Standard non-London area budget,24962.48,5607.52,236170.00,Standard non-London area budget,231508.81,4661.19,26840.00,Standard budget for renting a property in the London area,20434.58,6405.42,7546.13,0.00,4753
Mary Glindon,North Tyneside BC,30570.00,Standard non-London area budget,18745.24,11824.76,236170.00,Standard non-London area budget,149066.92,87103.08,26840.00,Standard budget for renting a property in the London area,23184.78,3655.22,18686.99,0.00,4126
Mary Robinson,Cheadle BC,30570.00,Standard non-London area budget,20534.07,10035.93,236170.00,Standard non-London area budget,186818.68,49351.32,26840.00,Standard budget for renting a property in the London area,24404.04,2435.96,7236.98,0.00,4406
Matt Rodda,Reading East BC,30570.00,Standard non-London area budget,29925.38,644.62,236170.00,Standard non-London area budget,220469.37,15700.63,0.00,,0.00,0.00,6986.93,0.00,4654
Matt Vickers,Stockton South BC,30570.00,Standard non-London area budget,23508.09,7061.91,236170.00,Standard non-London area budget,200939.24,35230.76,26840.00,Standard budget for renting a property in the London area,26555.66,284.34,5985.43,0.00,4844
Matt Warman,Boston and Skegness CC,30570.00,Standard non-London area budget,13473.81,17096.19,236170.00,Standard non-London area budget,175652.10,60517.90,6330.00,Standard budget for an MP who owns their property and is claiming the associated costs only (such as utilities),6556.44,-226.44,7918.40,0.00,4361
Matt Western,Warwick and Leamington BC,30570.00,Standard non-London area budget,25412.52,5157.48,236170.00,Standard non-London area budget,235782.78,387.22,26840.00,Standard budget for renting a property in the London area,22628.92,4211.08,6796.31,0.00,4617
Matthew Hancock,West Suffolk CC,30570.00,Standard non-London area budget,16248.60,14321.40,236170.00,Standard non-London area budget,235502.90,667.10,45200.00,"Standard budget for renting a property in the London area, with an uplift to cover the cost of three dependants",45039.93,160.07,3509.40,4796.00,4070
Matthew Offord,Hendon BC,33840.00,Standard London area budget,22876.88,10963.12,252870.00,Standard London area budget,211446.39,41423.61,0.00,,0.00,0.00,222.63,0.00,4006
Matthew Pennycook,Greenwich and Woolwich BC,33840.00,Standard London area budget,8351.83,25488.17,252870.00,Standard London area budget,215893.08,36976.92,0.00,,0.00,0.00,0.00,0.00,4520
Meg Hillier,Hackney South and Shoreditch BC,33840.00,Standard London area budget,10519.72,23320.28,252870.00,Standard London area budget,241042.03,11827.97,0.00,,0.00,0.00,0.00,0.00,1524
Mel Stride,Central Devon CC,30570.00,Standard non-London area budget,3614.26,26955.74,236170.00,Standard non-London area budget,198412.50,37757.50,31330.00,"Standard budget for renting a property outside the London area, with an uplift to cover the cost of two dependants",18757.72,12572.28,3878.01,0.00,3935
Mhairi Black,Paisley and Renfrewshire South CC,30570.00,Standard non-London area budget,22442.95,8127.05,236170.00,Standard non-London area budget,218259.24,17910.76,32960.00,"Standard budget for renting a property in the London area, with an uplift to cover the cost of one dependant",28254.64,4705.36,18456.58,0.00,4421
Michael Ellis,Northampton North BC,30570.00,Standard non-London area budget,4899.39,25670.61,236170.00,Standard non-London area budget,135917.55,100252.45,26840.00,Standard budget for renting a property in the London area,26394.06,445.94,0.00,0.00,4116
Michael Fabricant,Lichfield CC,30570.00,Standard non-London area budget,12281.40,18288.60,236170.00,Standard non-London area budget,157855.90,78314.10,19090.00,Standard budget for renting a property outside the London area,11777.44,7312.56,3056.86,0.00,280
Michael Gove,Surrey Heath CC,30570.00,Standard non-London area budget,12724.13,17845.87,236170.00,Standard non-London area budget,235831.09,338.91,0.00,,0.00,0.00,0.00,0.00,1571
Michael Shanks,Rutherglen and Hamilton West BC,20867.38,"Standard non-London area budget from 6 October 2023, and a start-up supplement of £6,000",12671.08,8196.30,114858.63,Standard non-London area budget from 6 October 2023,40121.52,74737.11,13053.33,Standard budget for renting a property in the London area from 6 October 2023,7103.11,5950.22,8065.67,0.00,4998
Michael Tomlinson,Mid Dorset and North Poole CC,30570.00,Standard non-London area budget,18615.71,11954.29,236170.00,Standard non-London area budget,190873.76,45296.24,45200.00,"Standard budget for renting a property in the London area, with an uplift to cover the cost of three dependants",34470.65,10729.35,7433.42,912.15,4497
Michelle Donelan,Chippenham CC,30570.00,Standard non-London area budget,28519.71,2050.29,236170.00,Standard non-London area budget,231652.76,4517.24,32408.20,"Standard budget for renting a property in the London area, with an uplift to cover the cost of one dependant from 4 May 2023",31245.44,1162.76,8242.42,0.00,4530
Michelle Gildernew,Fermanagh and South Tyrone CC,30570.00,Standard non-London area budget,20069.19,10500.81,236170.00,Standard non-London area budget,171510.73,64659.27,39080.00,"Standard budget for renting a property in the London area, with an uplift to cover the cost of two dependants",390.00,38690.00,13808.61,0.00,1416
Mick Whitley,Birkenhead BC,30570.00,Standard non-London area budget,22882.83,7687.17,236170.00,Standard non-London area budget,236169.98,0.02,26840.00,Standard budget for renting a property in the London area,26638.46,201.54,15449.17,637.89,4755
Mickey Brady,Newry and Armagh CC,30570.00,Standard non-London area budget,30484.30,85.70,236170.00,Standard non-London area budget,188395.28,47774.72,26840.00,Standard budget for renting a property in the London area,973.20,25866.80,11408.54,0.00,4373
Mike Amesbury,Weaver Vale CC,30570.00,Standard non-London area budget,28180.72,2389.28,236170.00,Standard non-London area budget,222666.83,13503.17,32960.00,"Standard budget for renting a property in the London area, with an uplift to cover the cost of one dependant",25933.47,7026.53,14484.49,1851.60,4667
Mike Freer,Finchley and Golders Green BC,33840.00,Standard London area budget,23025.95,10814.05,252870.00,Standard London area budget,193790.77,59079.23,0.00,,0.00,0.00,0.00,6295.80,4004
Mike J Wood,Dudley South BC,30570.00,Standard non-London area budget,21821.03,8748.97,236170.00,Standard non-London area budget,181637.15,54532.85,39080.00,"Standard budget for renting a property in the London area, with an uplift to cover the cost of two dependants",25814.51,13265.49,6911.22,0.00,4384
Mike Kane,Wythenshawe and Sale East BC,30570.00,Standard non-London area budget,22570.63,7999.37,236170.00,Standard non-London area budget,235319.89,850.11,26840.00,Standard budget for renting a property in the London area,22902.26,3937.74,13005.95,0.00,4316
Mike Penning,Hemel Hempstead CC,30570.00,Standard non-London area budget,16614.76,13955.24,236170.00,Standard non-London area budget,171596.62,64573.38,26840.00,Standard budget for renting a property in the London area,6903.90,19936.10,1958.45,0.00,1528
Mims Davies,Mid Sussex CC,30570.00,Standard non-London area budget,27293.60,3276.40,236170.00,Standard non-London area budget,218872.09,17297.91,26840.00,Standard budget for renting a property in the London area,3435.00,23405.00,6872.37,930.00,4513
Miriam Cates,Penistone and Stocksbridge CC,30570.00,Standard non-London area budget,21745.25,8824.75,236170.00,Standard non-London area budget,216917.69,19252.31,45200.00,"Standard budget for renting a property in the London area, with an uplift to cover the cost of three dependants",35820.94,9379.06,12234.16,0.00,4865
Mohammad Yasin,Bedford BC,30570.00,Standard non-London area budget,26497.18,4072.82,236170.00,Standard non-London area budget,197730.24,38439.76,26840.00,Standard budget for renting a property in the London area,2090.00,24750.00,12826.24,0.00,4598
Munira Wilson,Twickenham BC,33840.00,Standard London area budget,23935.79,9904.21,252870.00,Standard London area budget,249044.47,3825.53,0.00,,0.00,0.00,237.81,0.00,4776
Nadhim Zahawi,Stratford-on-Avon CC,30570.00,Standard non-London area budget,16750.29,13819.71,236170.00,Standard non-London area budget,183903.44,52266.56,0.00,,0.00,0.00,1571.73,0.00,4113
Nadia Whittome,Nottingham East BC,30570.00,Standard non-London area budget,25083.22,5486.78,236170.00,Standard non-London area budget,225380.96,10789.04,6330.00,Standard budget for an MP who owns their property and is claiming the associated costs only (such as utilities),5183.21,1146.79,4744.09,0.00,4869
Nadine Dorries,Mid Bedfordshire CC,17707.21,Standard non-London area budget until 29 October 2023,1842.73,15864.48,136797.92,Standard non-London area budget until 29 October 2023,120110.98,16686.94,15546.67,Standard budget for renting a property in the London area until 29 October 2023,0.00,15546.67,0.00,76484.91,1481
Natalie Elphicke,Dover CC,30570.00,Standard non-London area budget,21994.16,8575.84,236170.00,Standard non-London area budget,197793.33,38376.67,32960.00,"Standard budget for renting a property in the London area, with an uplift to cover the cost of one dependant",32960.00,0.00,3179.71,0.00,4795
Navendu Mishra,Stockport BC,30570.00,Standard non-London area budget,30569.05,0.95,236170.00,Standard non-London area budget,231482.22,4687.78,26840.00,Standard budget for renting a property in the London area,25440.17,1399.83,10537.98,0.00,4811
Naz Shah,Bradford West BC,30570.00,Standard non-London area budget,30092.97,477.03,236170.00,Standard non-London area budget,228928.63,7241.37,45200.00,"Standard budget for renting a property in the London area, with an uplift to cover the cost of three dependants",37137.81,8062.19,10688.69,310.00,4409
Neale Hanvey,Kirkcaldy and Cowdenbeath CC,30570.00,Standard non-London area budget,27037.16,3532.84,236170.00,Standard non-London area budget,219220.45,16949.55,39080.00,"Standard budget for renting a property in the London area, with an uplift to cover the cost of two dependants",38271.54,808.46,58810.28,0.00,4782
Neil Coyle,Bermondsey and Old Southwark BC,33840.00,Standard London area budget,29903.83,3936.17,252870.00,Standard London area budget,174799.14,78070.86,0.00,,0.00,0.00,39.30,0.00,4368
Neil Hudson,Penrith and The Border CC,30570.00,Standard non-London area budget,18511.08,12058.92,236170.00,Standard non-London area budget,173746.77,62423.23,19090.00,Standard budget for renting a property outside the London area,16077.00,3013.00,11252.86,0.00,4853
Neil O'Brien,Harborough CC,30570.00,Standard non-London area budget,23771.83,6798.17,236170.00,Standard non-London area budget,222529.60,13640.40,39080.00,"Standard budget for renting a property in the London area, with an uplift to cover the cost of two dependants",33671.23,5408.77,15890.30,0.00,4679
Nia Griffith,Llanelli CC,30570.00,Standard non-London area budget,22505.66,8064.34,236170.00,Standard non-London area budget,234103.67,2066.33,0.00,,0.00,0.00,9312.87,1532.23,1541
Nicholas Brown,Newcastle upon Tyne East BC,30570.00,Standard non-London area budget,22151.15,8418.85,236170.00,Standard non-London area budget,204214.08,31955.92,6330.00,Standard budget for an MP who owns their property and is claiming the associated costs only (such as utilities),5373.83,956.17,19324.24,0.00,523
Nick Fletcher,Don Valley CC,30570.00,Standard non-London area budget,23868.78,6701.22,236170.00,Standard non-London area budget,222297.92,13872.08,26840.00,Standard budget for renting a property in the London area,16785.00,10055.00,9914.41,0.00,4832
Nick Gibb,Bognor Regis and Littlehampton CC,30570.00,Standard non-London area budget,28615.36,1954.64,236170.00,Standard non-London area budget,150737.65,85432.35,6330.00,Standard budget for an MP who owns their property and is claiming the associated costs only (such as utilities),6323.90,6.10,3392.55,0.00,111
Nick Smith,Blaenau Gwent CC,30570.00,Standard non-London area budget,26075.90,4494.10,236170.00,Standard non-London area budget,202845.81,33324.19,6330.00,Standard budget for an MP who owns their property and is claiming the associated costs only (such as utilities),5944.23,385.77,6617.86,0.00,3928
Nick Thomas-Symonds,Torfaen CC,30570.00,Standard non-London area budget,16727.21,13842.79,236170.00,Standard non-London area budget,224246.45,11923.55,45200.00,"Standard budget for renting a property in the London area, with an uplift to cover the cost of three dependants",31749.79,13450.21,11383.67,0.00,4479
Nickie Aiken,Cities of London and Westminster BC,33840.00,Standard London area budget,26398.45,7441.55,252870.00,Standard London area budget,247291.45,5578.55,0.00,,0.00,0.00,0.00,0.00,4741
Nicola Richards,West Bromwich East BC,30570.00,Standard non-London area budget,23542.12,7027.88,236170.00,Standard non-London area budget,231662.60,4507.40,26840.00,Standard budget for renting a property in the London area,26840.00,0.00,16173.58,0.00,4868
Nigel Adams,Selby and Ainsty CC,11192.30,Standard non-London area budget until 12 August 2023,1560.77,9631.53,86466.61,Standard non-London area budget until 12 August 2023,53651.65,32814.96,9826.67,Standard budget for renting a property in the London area until 12 August 2023,9745.13,81.54,1679.68,43691.22,4057
Nigel Evans,Ribble Valley CC,30570.00,Standard non-London area budget,13565.59,17004.41,236170.00,Standard non-London area budget,164127.60,72042.40,26840.00,Standard budget for renting a property in the London area,22112.64,4727.36,17867.26,0.00,474
Nigel Huddleston,Mid Worcestershire CC,30570.00,Standard non-London area budget,9531.11,21038.89,236170.00,Standard non-London area budget,200043.40,36126.60,39080.00,"Standard budget for renting a property in the London area, with an uplift to cover the cost of two dependants",34415.96,4664.04,4468.85,0.00,4407
Nigel Mills,Amber Valley CC,30570.00,Standard non-London area budget,16775.16,13794.84,236170.00,Standard non-London area budget,181182.45,54987.55,39080.00,"Standard budget for renting a property in the London area, with an uplift to cover the cost of two dependants",19151.01,19928.99,7885.54,0.00,4136
Nusrat Ghani,Wealden CC,30570.00,Standard non-London area budget,29242.78,1327.22,236170.00,Standard non-London area budget,185838.74,50331.26,25210.00,"Standard budget for renting a property outside the London area, with an uplift to cover the cost of one dependant",18025.43,7184.57,7882.28,0.00,4460
Oliver Dowden,Hertsmere CC,33840.00,Standard London area budget,5813.66,28026.34,252870.00,Standard London area budget,181587.00,71283.00,0.00,,0.00,0.00,245.56,0.00,4441
Oliver Heald,North East Hertfordshire CC,30570.00,Standard non-London area budget,13925.94,16644.06,236170.00,Standard non-London area budget,190947.66,45222.34,6330.00,Standard budget for an MP who owns their property and is claiming the associated costs only (such as utilities),5051.10,1278.90,1193.95,0.00,69
Olivia Blake,"Sheffield, Hallam CC",30570.00,Standard non-London area budget,27790.35,2779.65,236170.00,Standard non-London area budget,223077.09,13092.91,26840.00,Standard budget for renting a property in the London area,26834.60,5.40,4694.91,0.00,4864
Órfhlaith Begley,West Tyrone CC,30570.00,Standard non-London area budget,23496.24,7073.76,236170.00,Standard non-London area budget,227979.33,8190.67,26840.00,Standard budget for renting a property in the London area,185.00,26655.00,2852.60,0.00,4697
Owen Thompson,Midlothian CC,30570.00,Standard non-London area budget,30288.63,281.37,236170.00,Standard non-London area budget,196790.64,39379.36,32960.00,"Standard budget for renting a property in the London area, with an uplift to cover the cost of one dependant",29944.52,3015.48,24716.67,174.00,4482
Pat McFadden,Wolverhampton South East BC,30570.00,Standard non-London area budget,17311.65,13258.35,236170.00,Standard non-London area budget,194680.45,41489.55,31330.00,"Standard budget for renting a property outside the London area, with an uplift to cover the cost of two dependants",11756.91,19573.09,4172.10,0.00,1587
Patricia Gibson,North Ayrshire and Arran CC,30570.00,Standard non-London area budget,22042.55,8527.45,236170.00,Standard non-London area budget,157691.42,78478.58,26840.00,Standard budget for renting a property in the London area,18226.40,8613.60,20715.56,0.00,4435
Patrick Grady,Glasgow North BC,30570.00,Standard non-London area budget,27172.37,3397.63,236170.00,Standard non-London area budget,212975.41,23194.59,26840.00,Standard budget for renting a property in the London area,22900.37,3939.63,20903.72,0.00,4432
Paul Beresford,Mole Valley CC,33840.00,Standard London area budget,5025.36,28814.64,252870.00,Standard London area budget,156851.07,96018.93,0.00,,0.00,0.00,1590.00,0.00,103
Paul Blomfield,Sheffield Central BC,30570.00,Standard non-London area budget,15346.80,15223.20,236170.00,Standard non-London area budget,204469.74,31700.26,26840.00,Standard budget for renting a property in the London area,25103.71,1736.29,5087.15,0.00,4058
Paul Bristow,Peterborough BC,30570.00,Standard non-London area budget,17108.04,13461.96,236170.00,Standard non-London area budget,223582.08,12587.92,31330.00,"Standard budget for renting a property outside the London area, with an uplift to cover the cost of two dependants",18899.01,12430.99,10046.62,912.15,4792
Paul Girvan,South Antrim CC,30570.00,Standard non-London area budget,24238.31,6331.69,236170.00,Standard non-London area budget,231970.83,4199.17,26840.00,Standard budget for renting a property in the London area,13650.98,13189.02,18281.05,0.00,4633
Paul Holmes,Eastleigh BC,30570.00,Standard non-London area budget,22514.25,8055.75,236170.00,Standard non-London area budget,148840.65,87329.35,19090.00,Standard budget for renting a property outside the London area,16194.80,2895.20,3767.80,0.00,4803
Paul Howell,Sedgefield CC,30570.00,Standard non-London area budget,29178.10,1391.90,236170.00,Standard non-London area budget,229891.95,6278.05,26840.00,Standard budget for renting a property in the London area,26615.50,224.50,11506.27,8628.22,4830
Paul Maskey,Belfast West BC,30570.00,Standard non-London area budget,28132.65,2437.35,236170.00,Standard non-London area budget,233085.28,3084.72,26840.00,Standard budget for renting a property in the London area,836.99,26003.01,4696.86,0.00,4245
Paul Maynard,Blackpool North and Cleveleys BC,30570.00,Standard non-London area budget,22912.95,7657.05,236170.00,Standard non-London area budget,229751.24,6418.76,26840.00,Standard budget for renting a property in the London area,24565.36,2274.64,19063.40,912.15,3926
Paul Scully,Sutton and Cheam BC,33840.00,Standard London area budget,32350.25,1489.75,252870.00,Standard London area budget,148229.65,104640.35,0.00,,0.00,0.00,799.76,0.00,4414
Paula Barker,"Liverpool, Wavertree BC",30570.00,Standard non-London area budget,24327.03,6242.97,236170.00,Standard non-London area budget,215998.28,20171.72,32960.00,"Standard budget for renting a property in the London area, with an uplift to cover the cost of one dependant",27578.42,5381.58,31209.45,0.00,4828
Paulette Hamilton,"Birmingham, Erdington BC",30570.00,Standard non-London area budget,19587.66,10982.34,236170.00,Standard non-London area budget,216920.58,19249.42,26840.00,Standard budget for renting a property in the London area,24972.34,1867.66,9414.66,0.00,4938
Pauline Latham,Mid Derbyshire CC,30570.00,Standard non-London area budget,20969.04,9600.96,236170.00,Standard non-London area budget,191563.77,44606.23,26840.00,Standard budget for renting a property in the London area,12318.00,14522.00,12626.49,0.00,4025
Penny Mordaunt,Portsmouth North BC,30570.00,Standard non-London area budget,26613.91,3956.09,236170.00,Standard non-London area budget,222216.39,13953.61,26840.00,Standard budget for renting a property in the London area,20850.00,5990.00,4141.83,0.00,4017
Pete Wishart,Perth and North Perthshire CC,30570.00,Standard non-London area budget,26765.56,3804.44,236170.00,Standard non-London area budget,183219.77,52950.23,26840.00,Standard budget for renting a property in the London area,26027.27,812.73,32785.08,0.00,1440
Peter Aldous,Waveney CC,30570.00,Standard non-London area budget,21165.02,9404.98,236170.00,Standard non-London area budget,151438.23,84731.77,26840.00,Standard budget for renting a property in the London area,20260.50,6579.50,297.40,0.00,4069
Peter Bone,Wellingborough CC,27229.24,Standard non-London area budget until 19 February 2024,19401.89,7827.35,209713.80,Standard non-London area budget until 19 February 2024,158267.72,51446.08,23906.86,Standard budget for renting a property in the London area until 19 February 2024,23906.86,0.00,4663.50,55148.97,1581
Peter Bottomley,Worthing West BC,30570.00,Standard non-London area budget,20207.20,10362.80,236170.00,Standard non-London area budget,224897.30,11272.70,0.00,,0.00,0.00,2570.16,0.00,117
Peter Dowd,Bootle BC,30570.00,Standard non-London area budget,28844.18,1725.82,236170.00,Standard non-London area budget,207180.60,28989.40,26840.00,Standard budget for renting a property in the London area,11971.82,14868.18,9449.66,0.00,4397
Peter Gibson,Darlington BC,30570.00,Standard non-London area budget,29163.65,1406.35,236170.00,Standard non-London area budget,218261.95,17908.05,26840.00,Standard budget for renting a property in the London area,24074.44,2765.56,9171.79,0.00,4754
Peter Grant,Glenrothes CC,30570.00,Standard non-London area budget,27443.98,3126.02,236170.00,Standard non-London area budget,206619.24,29550.76,26840.00,Standard budget for renting a property in the London area,25066.78,1773.22,40456.95,0.00,4466
Peter Kyle,Hove BC,30570.00,Standard non-London area budget,30567.11,2.89,236170.00,Standard non-London area budget,233209.66,2960.34,26840.00,Standard budget for renting a property in the London area,16197.94,10642.06,1527.72,0.00,4505
Phil Boswell,"Coatbridge, Chryston and Bellshill BC",0.00,,0.00,0.00,0.00,,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,4388
Philip Davies,Shipley CC,30570.00,Standard non-London area budget,14176.61,16393.39,236170.00,Standard non-London area budget,189510.77,46659.23,32960.00,"Standard budget for renting a property in the London area, with an uplift to cover the cost of one dependant",20936.25,12023.75,16956.53,0.00,1565
Philip Dunne,Ludlow CC,30570.00,Standard non-London area budget,12677.43,17892.57,236170.00,Standard non-London area budget,188002.18,48167.82,0.00,,0.00,0.00,4182.12,912.15,1542
Philip Hollobone,Kettering CC,30570.00,Standard non-London area budget,3245.83,27324.17,236170.00,Standard non-London area budget,65619.24,170550.76,25210.00,"Standard budget for renting a property outside the London area, with an uplift to cover the cost of one dependant",24061.46,1148.54,6693.50,0.00,1537
Philippa Whitford,Central Ayrshire CC,30570.00,Standard non-London area budget,18674.37,11895.63,236170.00,Standard non-London area budget,210585.31,25584.69,26840.00,Standard budget for renting a property in the London area,22428.33,4411.67,22195.07,0.00,4385
Preet Gill,"Birmingham, Edgbaston BC",30570.00,Standard non-London area budget,27946.65,2623.35,236170.00,Standard non-London area budget,210796.85,25373.15,39080.00,"Standard budget for renting a property in the London area, with an uplift to cover the cost of two dependants",36480.03,2599.97,18457.38,0.00,4603
Priti Patel,Witham CC,30570.00,Standard non-London area budget,12477.93,18092.07,236170.00,Standard non-London area budget,224034.97,12135.03,32960.00,"Standard budget for renting a property in the London area, with an uplift to cover the cost of one dependant",0.00,32960.00,2264.15,0.00,4066
Rachael Maskell,York Central BC,30570.00,Standard non-London area budget,10625.67,19944.33,236170.00,Standard non-London area budget,236160.35,9.65,0.00,,0.00,0.00,3106.78,0.00,4471
Rachel Hopkins,Luton South BC,30570.00,Standard non-London area budget,15075.68,15494.32,236170.00,Standard non-London area budget,191857.55,44312.45,26840.00,Standard budget for renting a property in the London area,3417.00,23423.00,3880.47,912.15,4873
Rachel Maclean,Redditch CC,30570.00,Standard non-London area budget,18715.50,11854.50,236170.00,Standard non-London area budget,181834.99,54335.01,26840.00,Standard budget for renting a property in the London area,24626.17,2213.83,13733.17,0.00,4668
Rachel Reeves,Leeds West BC,30570.00,Standard non-London area budget,24007.68,6562.32,236170.00,Standard non-London area budget,236170.00,0.00,31330.00,"Standard budget for renting a property outside the London area, with an uplift to cover the cost of two dependants",17390.94,13939.06,8347.13,0.00,4031
Ranil Jayawardena,North East Hampshire CC,30570.00,Standard non-London area budget,25694.18,4875.82,236170.00,Standard non-London area budget,206770.04,29399.96,45200.00,"Standard budget for renting a property in the London area, with an uplift to cover the cost of three dependants",2907.00,42293.00,7671.23,0.00,4498
Rebecca Harris,Castle Point BC,30570.00,Standard non-London area budget,9044.89,21525.11,236170.00,Standard non-London area budget,185799.46,50370.54,0.00,,0.00,0.00,74.60,0.00,3948
Rebecca Long Bailey,Salford and Eccles BC,30570.00,Standard non-London area budget,24442.25,6127.75,236170.00,Standard non-London area budget,217323.02,18846.98,26840.00,Standard budget for renting a property in the London area,20659.79,6180.21,4707.11,0.00,4396
Rebecca Pow,Taunton Deane CC,30570.00,Standard non-London area budget,19240.40,11329.60,236170.00,Standard non-London area budget,188358.03,47811.97,26840.00,Standard budget for renting a property in the London area,24098.11,2741.89,10535.11,0.00,4522
Rehman Chishti,Gillingham and Rainham BC,30570.00,Standard non-London area budget,11218.95,19351.05,236170.00,Standard non-London area budget,136770.17,99399.83,26840.00,Standard budget for renting a property in the London area,22420.78,4419.22,2080.80,0.00,3987
Richard Bacon,South Norfolk CC,30570.00,Standard non-London area budget,27067.23,3502.77,236170.00,Standard non-London area budget,166049.63,70120.37,39080.00,"Standard budget for renting a property in the London area, with an uplift to cover the cost of two dependants",36707.53,2372.47,10646.96,0.00,1451
Richard Burgon,Leeds East BC,30570.00,Standard non-London area budget,24824.83,5745.17,236170.00,Standard non-London area budget,228858.90,7311.10,26840.00,Standard budget for renting a property in the London area,25155.74,1684.26,4643.45,0.00,4493
Richard Drax,South Dorset CC,30570.00,Standard non-London area budget,7057.94,23512.06,236170.00,Standard non-London area budget,200808.20,35361.80,0.00,,0.00,0.00,3248.73,0.00,4132
Richard Foord,Tiverton and Honiton CC,35358.57,"Standard non-London area budget, and a start-up supplement of £4,788.57",34641.09,717.48,236170.00,Standard non-London area budget,225659.38,10510.62,45200.00,"Standard budget for renting a property in the London area, with an uplift to cover the cost of three dependants",18999.31,26200.69,10801.21,0.00,4942
Richard Fuller,North East Bedfordshire CC,30570.00,Standard non-London area budget,9952.11,20617.89,236170.00,Standard non-London area budget,216294.01,19875.99,26840.00,Standard budget for renting a property in the London area,24632.27,2207.73,3542.79,0.00,3912
Richard Graham,Gloucester BC,30570.00,Standard non-London area budget,21439.61,9130.39,236170.00,Standard non-London area budget,217767.27,18402.73,26840.00,Standard budget for renting a property in the London area,23349.57,3490.43,5241.85,0.00,3990
