mps_name,constituency,office_budget,reason_for_budget_set,office_spend,remaining_office_budget,staffing_budget,reason_for_budget_staffing_budget,staffing_spend,remaining_staffing_budget,accommodation_budget,reason_for_budget_accommodation_budget,accommodation_spend,remaining_accommodation_budget,travel_and_subsistence_uncapped,other_costs_uncapped,pid
Jon Trickett,Hemsworth CC,30570.00,Standard non-London area budget,18615.66,11954.34,236170.00,Standard non-London area budget,235497.05,672.95,26840.00,Standard budget for renting a property in the London area,8285.32,18554.68,4745.91,0.00,410
Jonathan Ashworth,Leicester South BC,30570.00,Standard non-London area budget,22689.22,7880.78,236170.00,Standard non-London area budget,215796.66,20373.34,39080.00,"Standard budget for renting a property in the London area, with an uplift to cover the cost of two dependants",27285.82,11794.18,10317.91,0.00,4244
Jonathan Djanogly,Huntingdon CC,30570.00,Standard non-London area budget,8550.45,22019.55,236170.00,Standard non-London area budget,163426.67,72743.33,0.00,,0.00,0.00,5887.16,0.00,1425
Jonathan Edwards,Carmarthen East and Dinefwr CC,30570.00,Standard non-London area budget,17598.09,12971.91,236170.00,Standard non-London area budget,157021.16,79148.84,26840.00,Standard budget for renting a property in the London area,26669.92,170.08,6160.29,0.00,3943
Jonathan Gullis,Stoke-on-Trent North BC,30570.00,Standard non-London area budget,23007.69,7562.31,236170.00,Standard non-London area budget,214002.54,22167.46,39080.00,"Standard budget for renting a property in the London area, with an uplift to cover the cost of two dependants",12814.10,26265.90,24122.64,0.00,4814
Jonathan Lord,Woking CC,30570.00,Standard non-London area budget,21307.96,9262.04,236170.00,Standard non-London area budget,194717.65,41452.35,0.00,,0.00,0.00,2452.10,0.00,4090
Jonathan Reynolds,Stalybridge and Hyde CC,30570.00,Standard non-London area budget,17262.73,13307.27,236170.00,Standard non-London area budget,181058.79,55111.21,45200.00,"Standard budget for renting a property in the London area, with an uplift to cover the cost of three dependants",43503.14,1696.86,11215.73,0.00,4119
Joy Morrissey,Beaconsfield CC,33840.00,Standard London area budget,30917.14,2922.86,252870.00,Standard London area budget,237563.25,15306.75,0.00,,0.00,0.00,0.00,0.00,4759
Judith Cummins,Bradford South BC,30570.00,Standard non-London area budget,21906.78,8663.22,236170.00,Standard non-London area budget,224941.40,11228.60,32960.00,"Standard budget for renting a property in the London area, with an uplift to cover the cost of one dependant",20221.67,12738.33,9820.93,1425.87,4391
Julia Lopez,Hornchurch and Upminster BC,33840.00,Standard London area budget,25979.28,7860.72,252870.00,Standard London area budget,165354.38,87515.62,0.00,,0.00,0.00,0.00,0.00,4647
Julian Knight,Solihull BC,30570.00,Standard non-London area budget,16153.23,14416.77,236170.00,Standard non-London area budget,183576.62,52593.38,6330.00,Standard budget for an MP who owns their property and is claiming the associated costs only (such as utilities),5318.66,1011.34,3589.10,1746.15,4410
Julian Lewis,New Forest East CC,30570.00,Standard non-London area budget,16556.84,14013.16,236170.00,Standard non-London area budget,170613.72,65556.28,6330.00,Standard budget for an MP who owns their property and is claiming the associated costs only (such as utilities),6330.00,0.00,2226.82,0.00,54
Julian Smith,Skipton and Ripon CC,30570.00,Standard non-London area budget,14639.09,15930.91,236170.00,Standard non-London area budget,191164.39,45005.61,6330.00,Standard budget for an MP who owns their property and is claiming the associated costs only (such as utilities),2540.40,3789.60,6467.58,0.00,4118
Julian Sturdy,York Outer CC,30570.00,Standard non-London area budget,17616.73,12953.27,236170.00,Standard non-London area budget,210443.05,25726.95,32960.00,"Standard budget for renting a property in the London area, with an uplift to cover the cost of one dependant",12702.37,20257.63,14460.62,0.00,4079
Julie Elliott,Sunderland Central BC,30570.00,Standard non-London area budget,25951.09,4618.91,236170.00,Standard non-London area budget,212866.09,23303.91,26840.00,Standard budget for renting a property in the London area,26840.00,0.00,9342.31,1680.00,4127
Julie Marson,Hertford and Stortford CC,33840.00,Standard London area budget,21711.19,12128.81,252870.00,Standard London area budget,224329.46,28540.54,0.00,,0.00,0.00,580.31,0.00,4768
Justin Madders,Ellesmere Port and Neston CC,30570.00,Standard non-London area budget,28121.48,2448.52,236170.00,Standard non-London area budget,198052.79,38117.21,26840.00,Standard budget for renting a property in the London area,22096.07,4743.93,8051.00,0.00,4418
Justin Tomlinson,North Swindon CC,30570.00,Standard non-London area budget,14852.78,15717.22,236170.00,Standard non-London area budget,186485.08,49684.92,26840.00,Standard budget for renting a property in the London area,15618.69,11221.31,2738.60,0.00,4105
Karen Bradley,Staffordshire Moorlands CC,30570.00,Standard non-London area budget,27789.17,2780.83,236170.00,Standard non-London area budget,186350.41,49819.59,34402.49,"Standard budget for renting a property in the London area, with an uplift to cover the cost of one dependant, plus an uplift of £1,442.49, granted following an application to IPSA",34213.57,188.92,12945.60,0.00,4110
Karen Buck,Westminster North BC,33840.00,Standard London area budget,25958.95,7881.05,252870.00,Standard London area budget,248465.28,4404.72,0.00,,0.00,0.00,0.00,0.00,199
Karin Smyth,Bristol South BC,30570.00,Standard non-London area budget,24591.81,5978.19,236170.00,Standard non-London area budget,210258.93,25911.07,26840.00,Standard budget for renting a property in the London area,26840.00,0.00,5300.63,912.15,4444
Karl McCartney,Lincoln BC,30570.00,Standard non-London area budget,25152.00,5418.00,236170.00,Standard non-London area budget,140758.79,95411.21,32960.00,"Standard budget for renting a property in the London area, with an uplift to cover the cost of one dependant",23841.00,9119.00,6623.13,0.00,4028
Karl Turner,Kingston upon Hull East BC,30570.00,Standard non-London area budget,26932.36,3637.64,236170.00,Standard non-London area budget,174978.72,61191.28,32960.00,"Standard budget for renting a property in the London area, with an uplift to cover the cost of one dependant",20970.19,11989.81,5633.11,0.00,4030
Kate Hollern,Blackburn BC,30570.00,Standard non-London area budget,24681.96,5888.04,236170.00,Standard non-London area budget,197917.61,38252.39,26840.00,Standard budget for renting a property in the London area,26760.97,79.03,11677.34,0.00,4363
Kate Kniveton,Burton CC,30570.00,Standard non-London area budget,25368.65,5201.35,236170.00,Standard non-London area budget,231337.95,4832.05,26840.00,Standard budget for renting a property in the London area,11712.00,15128.00,13221.67,0.00,4773
Kate Osamor,Edmonton BC,33840.00,Standard London area budget,33374.18,465.82,252870.00,Standard London area budget,210072.25,42797.75,0.00,,0.00,0.00,69.35,0.00,4515
Kate Osborne,Jarrow BC,30570.00,Standard non-London area budget,29203.91,1366.09,236170.00,Standard non-London area budget,236167.80,2.20,32960.00,"Standard budget for renting a property in the London area, with an uplift to cover the cost of one dependant",31965.95,994.05,22544.79,0.00,4783
